Station Code,Station Name,ICS Code,Postcode
"GNW","Greenwich","910GGNWH","SE109LG"
"GPK","Grange Park","910GGRPK","N211RF"
"GPO","Gospel Oak","910GGOSPLOK","NW32JT"
"GRP","Grove Park","910GGRVPK","SE120DU"
"GUN","Gunnersbury","910GGNRSBRY","W45RX"
"HAC","Hackney Downs","910GHACKNYC","E82AJ"
"HAN","Hanwell","910GHANWELL","W73EA"
"HAY","Hayes & Harlington","910GHAYESAH","UB34FH"
"HCB","Hackbridge","910GHKBG","SM67HN"
"HDH","Hampstead Heath","910GHMPSTDH","NW32SH"
"HDL","Headstone Lane","910GHEDSTNL","HA35NN"
"HDN","Harlesden","910GHARLSDN","NW108PY"
"HDW","Hadley Wood","910GHADLYWD","EN40EH"
"HEN","Hendon","910GHDON","NW96AX"
"HGG","Haggerston","910GHAGGERS","E84DE"
"HGR","Hither Green","910GHTHRGRN","SE135NN"
"HGY","Harringay","910GHRGY","N41RE"
"HHY","Highbury & Islington","910GHGHI","N78QL"
"HIP","Highams Park","910GHGHMSPK","E49UA"
"HKC","Hackney Central","910GHACKNYC","E81QZ"
"HKW","Hackney Wick","910GHACKNYW","E95NN"
"HMN","Homerton","910GHOMRTON","E96AG"
"HMP","Hampton (London)","910GHAMPTON","TW122LA"
"HMW","Hampton Wick","910GHAMWICK","KT14HX"
"HNH","Herne Hill","910GHERNEH","SE240JW"
"HOH","Harrow-on-the-Hill","910GHAROOTH","HA11YZ"
"HOU","Hounslow","910GHOUNSLW","TW32DQ"
"HOX","Hoxton","910GHOXTON","E28HX"
"HPA","Honor Oak Park","910GHONROPK","SE231EB"
"HRN","Hornsey","910GHRNSY","N87EB"
"HRO","Harold Wood","910GHRLDWOD","RM30DA"
"HRW","Harrow & Wealdstone","910GHROW","HA37AA"
"HRY","Harringay Green Lanes","910GHRGYGL","N41EY"
"HTE","Hatch End","910GHTCHEND","HA54UU"
"HWV","Heathrow Airport Terminal 5","910GHTRWTM5","UB70ET"
"HYR","Haydons Road","910GHYDNSRD","SW198HE"
"HYS","Hayes (Kent)","910GHAYS","BR27JG"
"IFD","Ilford","910GILFORD","IG14PT"
"IMW","Imperial Wharf","910GCSEAH","SW100XL"
"ISL","Isleworth","910GISLEWTH","TW75DH"
"KBN","Kilburn High Road","910GKLBRNHR","NW64QX"
"KCK","Knockholt","910GKNCKHLT","BR67QL"
"KDB","Kidbrooke","910GKIDBROK","SE39BY"
"KGX","Kings Cross","910GKNGX","NW12TF"
"KLY","Kenley","910GKNLY","CR85JS"
"KNG","Kingston","910GKGSTON","KT25AG"
"KNL","Kensal Green","910GKENSLG","NW105PT"
"KNR","Kensal Rise","910GKENR","NW105HH"
"KNT","Kenton","910GKTON","HA38BG"
"KPA","Kensington Olympia","910GKENOLYM","W148JD"
"KTH","Kent House","910GKENTHOS","SE207NR"
"KTN","Kentish Town","910GKNTSHTN","NW52HN"
"KTW","Kentish Town West","910GKNTSHTW","NW54LP"
"KWB","Kew Bridge","910GKEWBDGE","TW80JA"
"KWG","Kew Gardens","910GKEWGRDN","TW93QD"
"LAD","Ladywell","910GLDYW","SE137UZ"
"LBG","London Bridge","910GLNDNBDC","SE19TW"
"LEE","Lee (London)","910GLEEE","SE128RA"
"LEM","Leyton Midland Road","910GLEYTNMR","E106JS"
"LER","Leytonstone High Road","910GLYTNSHR","E114RU"
"LEW","Lewisham","910GLEWISHM","SE84LJ"
"LGJ","Loughborough Junction","910GLBGHJN","SW97UJ"
"LHS","Limehouse","910GLIMHSE","E147NS"
"LIX","Liverpool Street Crossrail","910GLIVST","EC2M7PP"
"LOF","London Fields","910GLONFLDS","E83PE"
"LST","Liverpool Street","910GLIVST","EC2M7PP"
"LSY","Lower Sydenham","910GLSYDNHM","SE265BZ"
"MAL","Malden Manor","910GMALDENM","KT35PL"
"MDS","Morden South","910GMORDENS","SM45HQ"
"MIJ","Mitcham Junction","910GMITCHMJ","CR44HN"
"MIL","Mill Hill Broadway","910GMLHB","NW73LN"
"MNP","Manor Park","910GMANRPK","E125DF"
"MOG","Moorgate","910GMRGT","EC2Y9UE"
"MOT","Motspur Park","910GMOTSPRP","KT36HE"
"MTC","Mitcham Eastfields","910GESTFLDS","CR42LS"
"MTG","Mottingham","910GMOTNGHM","SE95QR"
"MTL","Mortlake","910GMRTLKE","SW147HF"
"MYB","Marylebone","910GMARYLBN","NW16JP"
"MYL","Maryland","910GMRYLAND","E151JR"
"MZH","Maze Hill","910GMAZEH","SE109XR"
"NBA","New Barnet","910GNBARNET","EN51PB"
"NBC","New Beckenham","910GNBCKNHM","BR31QW"
"NBT","Norbiton","910GNRBITON","KT27UB"
"NDL","North Dulwich","910GNDULWCH","SE249JQ"
"NEH","New Eltham","910GNWELTHM","SE92DP"
"NEM","New Malden","910GNEWMLDN","KT34QE"
"NGR","NGW","North Greenwich","940GZZLUNGW","SE100PH"
"NHD","Nunhead","910GNUNHEAD","SE152DY"
"NLT","Northolt Park","910GNTHOLTP","HA28HB"
"NRB","Norbury","910GNORBURY","SW163LN"
"NSG","New Southgate","910GNEWSGAT","N111QG"
"NSH","North Sheen","910GNSHEEN","TW94LT"
