CRS Code,Station Name,Sixteen Character Name,Longitude,Latitude,Station Operator,National Location Code,Address Line 1,Address Line 2,Address Line 3,Address Line 4,Postcode,Ticket Office Mon-Fri Start,Ticket Office Mon-Fri End,Ticket Office Sat Start,Ticket Office Sat End,Ticket Office Sun Start,Ticket Office Sun End,Toilets Available,Wheelchairs Available
CTF,Catford,CATFORD,-0.026309768,51.44440912,TL,507700,,,,,,06:40:00.000,20:25:00.000,07:40:00.000,14:20:00.000,08:10:00.000,15:40:00.000,false,false
CFB,Catford Bridge,CATFORD BRIDGE,-0.024856205,51.44474435,SE,504700,,,,,,06:10:00.000,19:30:00.000,06:10:00.000,19:30:00.000,08:40:00.000,16:40:00.000,false,
CYS,Cathays,CATHAYS,-3.178693049,51.48890064,AW,382000,,,,,,06:30:00.000,19:30:00.000,09:00:00.000,15:30:00.000,,,false,true
CCT,Cathcart,CATHCART,-4.260529674,55.81766156,SR,979500,,,,,,06:35:00.000,12:39:00.000,07:35:00.000,13:39:00.000,,,false,false
CTL,Cattal,CATTAL,-1.319772686,53.99749566,NT,823200,,,,,,,,,,,,false,
CAU,Causeland,CAUSELAND,-4.466485305,50.40568197,GW,356800,,,,,,,,,,,,false,
CYB,Cefn-y-Bedd,CEFN Y BEDD,-3.031063286,53.09881997,AW,242500,,,,,,,,,,,,false,false
CTH,Chadwell Heath,CHADWELL HEATH,0.1289703577,51.568044268,XR,687400,,,,,,06:10:00.000,19:40:00.000,06:10:00.000,19:00:00.000,08:10:00.000,15:40:00.000,true,true
CFH,Chafford Hundred Lakeside,CHAFFORD HUNDRED,0.2872366517,51.485645362,CC,744700,,,,,,06:00:00.000,18:30:00.000,08:15:00.000,18:30:00.000,08:45:00.000,15:20:00.000,true,
CFO,Chalfont & Latimer,-,-0.5605191022,51.6681092656,LT,053900,,,,,,,,,,,,true,
CHW,Chalkwell,CHALKWELL,0.6706052576,51.538722717,CC,746900,,,,,,05:15:00.000,19:45:00.000,06:40:00.000,16:15:00.000,07:45:00.000,15:30:00.000,true,
CFR,Chandlers Ford,CHANDLERS FORD,-1.384401049,50.98299772,SW,583600,,,,,,06:10:00.000,12:30:00.000,07:10:00.000,13:30:00.000,,,true,false
CEF,Chapel-en-le-Frith,CHAPEL EN LE FRH,-1.918769577,53.31224546,NT,276200,,,,,,,,,,,,false,false
CPN,Chapelton (Devon),CHAPELTON DEVON,-4.02437053,51.01582131,GW,582000,,,,,,,,,,,,false,false
CLN,Chapeltown (South Yorkshire),CHAPELTOWN YORKS,-1.466268507,53.46235417,NT,666400,,,,,,,,,,,,false,
CWC,Chappel & Wakes Colne,-,0.758518905,51.92592031,LE,705100,,,,,,,,,,,,false,
CHG,Charing (Kent),CHARING (KENT),0.790345573,51.20810222,SE,509700,,,,,,07:15:00.000,11:40:00.000,,,,,true,
CHC,Charing Cross (Glasgow),CHARING X GLASGW,-4.269812977,55.86466734,SR,991100,,,,,,06:00:00.000,23:20:00.000,06:00:00.000,23:20:00.000,08:20:00.000,23:30:00.000,true,false
CBY,Charlbury,CHARLBURY,-1.489697044,51.8724362,GW,300400,,,,,,05:50:00.000,12:20:00.000,06:45:00.000,13:15:00.000,,,true,true
CTN,Charlton,CHARLTON,0.03098034,51.48686666,SE,514400,,,,,,06:10:00.000,19:30:00.000,06:10:00.000,19:30:00.000,08:30:00.000,16:00:00.000,true,
CRT,Chartham,CHARTHAM,1.01806042,51.25726956,SE,500800,,,,,,,,,,,,false,
CSR,Chassen Road,CHASSEN ROAD,-2.368237145,53.44617874,NT,294700,,,,,,06:55:00.000,10:00:00.000,,,,,false,false
CTE,Chatelherault,CHTLRT,-4.004661095,55.76520989,SR,970700,,,,,,,,,,,,false,false
CTM,Chatham,CHATHAM,0.521158168,51.38037808,SE,519900,,,,,,05:50:00.000,20:00:00.000,06:20:00.000,20:00:00.000,07:10:00.000,19:00:00.000,true,true
CHT,Chathill,CHATHILL,-1.706378108,55.53672988,NT,779200,,,,,,,,,,,,false,
CHU,Cheadle Hulme,CHEADLE HULME,-2.188302225,53.37594578,NT,287000,,,,,,,,07:00:00.000,21:00:00.000,09:00:00.000,17:00:00.000,false,
CHE,Cheam,CHEAM,-0.214166523,51.35547926,SN,535200,,,,,,06:25:00.000,19:50:00.000,07:50:00.000,14:25:00.000,08:10:00.000,15:45:00.000,true,false
CED,Cheddington,CHEDDINGTON,-0.662146256,51.85792469,LN,137200,,,,,,,,,,,,false,
CEL,Chelford (Cheshire),CHELFORD CHES,-2.279608703,53.27086569,NT,276400,,,,,,,,,,,,false,
CHM,Chelmsford,CHELMSFORD ESSEX,0.468580339,51.73638236,LE,683600,,,,,,05:50:00.000,22:00:00.000,05:50:00.000,22:00:00.000,07:00:00.000,23:00:00.000,true,true
CLD,Chelsfield,CHELSFIELD,0.109079893,51.3562555,SE,509800,,,,,,06:10:00.000,19:30:00.000,08:15:00.000,15:00:00.000,08:15:00.000,13:00:00.000,true,
CNM,Cheltenham Spa,CHELTENHAM SPA,-2.099625825,51.897399,GW,473100,,,,,,06:15:00.000,20:15:00.000,06:15:00.000,19:15:00.000,09:00:00.000,16:30:00.000,true,true
CPW,Chepstow,CPW,-2.671914115,51.64017494,AW,3774,,,,,,06:30:00.000,17:30:00.000,08:00:00.000,13:00:00.000,,,false,false
CYT,Cherry Tree,CHERRY TREE,-2.518385495,53.7328804,NT,257300,,,,,,,,,,,,false,false
CHY,Chertsey,CHERTSEY,-0.509665587,51.38716506,SW,555300,,,,,,06:30:00.000,12:00:00.000,10:00:00.000,13:00:00.000,,,false,false
CHN,Cheshunt,CHESHUNT,-0.023951585,51.70287691,LE,681400,,,,,,06:15:00.000,19:45:00.000,06:15:00.000,19:45:00.000,08:15:00.000,15:40:00.000,true,true
CSN,Chessington North,CHESSINGTON N,-0.300405044,51.36426238,SW,558200,,,,,,06:40:00.000,12:00:00.000,08:00:00.000,12:30:00.000,,,false,false
CSS,Chessington South,CHESSINGTON S,-0.308159205,51.35655091,SW,555400,,,,,,06:30:00.000,10:00:00.000,,,,,false,false
CTR,Chester,CHESTER.,-2.880125588,53.19683958,AW,241200,,,,,,,,07:00:00.000,22:30:00.000,08:00:00.000,22:30:00.000,true,true
CRD,Chester Road,CHESTER ROAD.,-1.832473808,52.53565641,WM,113000,,,,,,,,08:00:00.000,20:00:00.000,09:00:00.000,16:00:00.000,false,
