CRS Code,Station Name,Sixteen Character Name,Longitude,Latitude,Station Operator,National Location Code,Address Line 1,Address Line 2,Address Line 3,Address Line 4,Postcode,Ticket Office Mon-Fri Start,Ticket Office Mon-Fri End,Ticket Office Sat Start,Ticket Office Sat End,Ticket Office Sun Start,Ticket Office Sun End,Toilets Available,Wheelchairs Available
ABW,Abbey Wood,ABBEY WOOD.,0.12032557,51.49077059,XR,513100,,,,,,06:10:00.000,20:05:00.000,06:10:00.000,20:05:00.000,07:30:00.000,19:30:00.000,true,true
ABE,Aber,ABER,-3.229838935,51.57496069,AW,381300,,,,,,,,,,,,false,false
ACY,Abercynon,ABERCYNON,-3.327000754,51.644706,AW,380100,,,,,,,,,,,,false,false
ABA,Aberdare,ABERDARE,-3.443099147,51.71505747,AW,398200,,,,,,06:25:00.000,14:40:00.000,07:40:00.000,15:55:00.000,,,false,false
ABD,Aberdeen,ABERDEEN.,-2.097480496,57.14304825,SR,897600,,,,,,06:15:00.000,21:30:00.000,06:15:00.000,19:00:00.000,08:45:00.000,21:30:00.000,true,true
AUR,Aberdour,ABERDOUR,-3.300556443,56.05458044,SR,909000,,,,,,,,09:00:00.000,11:30:00.000,,,true,false
AVY,Aberdovey,ABERDOVEY,-4.057080835,52.54397223,AW,443500,,,,,,,,,,,,false,false
ABH,Abererch,ABERERCH,-4.374195955,52.89860046,AW,444000,,,,,,,,,,,,false,false
AGV,Abergavenny,AGV,-3.009664242,51.81669124,AW,3602,,,,,,,,06:00:00.000,18:45:00.000,12:00:00.000,18:30:00.000,true,true
AGL,Abergele & Pensarn,-,-3.58261,53.2935,AW,244800,,,,,,,,,,,,false,false
AYW,Aberystwyth,ABERYSTWYTH,-4.08174,52.41401,AW,430300,,,,,,07:10:00.000,17:40:00.000,07:15:00.000,17:40:00.000,,,true,false
ACR,Accrington,ACCRINGTON,-2.37001,53.7532,NT,255200,,,,,,,,06:40:00.000,15:00:00.000,09:10:00.000,16:45:00.000,true,false
AAT,Achanalt,ACHANALT,-4.914216676,57.60981331,SR,860000,,,,,,,,,,,,false,false
ACN,Achnasheen,ACHNASHEEN,-5.072367544,57.57910082,SR,860100,,,,,,,,,,,,true,false
ACH,Achnashellach,ACHNASHELLACH,-5.33306294,57.4820548,SR,860200,,,,,,,,,,,,false,false
ACK,Acklington,ACKLINGTON,-1.65184,55.3071,NT,766200,,,,,,,,,,,,false,
ACL,Acle,ACLE,1.543930278,52.63470623,LE,728600,,,,,,,,,,,,false,
ACG,Acocks Green,ACOCKS GREEN.,-1.818984792,52.44933057,WM,452900,,,,,,,,08:00:00.000,16:00:00.000,,,false,
ACB,Acton Bridge (Cheshire),ACTON BRIDGE,-2.60266626,53.26598504,LN,228700,,,,,,,,,,,,false,
ACC,Acton Central,ACTON CENTRAL,-0.2636165401,51.5087756014,LO,140400,,,,,,07:30:00.000,10:00:00.000,,,,,false,true
AML,Acton Main Line,ACTON MAIN LINE,-0.267630485,51.51692832,XR,300000,,,,,,06:40:00.000,10:40:00.000,08:00:00.000,15:15:00.000,,,true,true
ADD,Adderley Park,ADDERLEY PARK.,-1.85593993,52.48309476,WM,103600,,,,,,,,12:00:00.000,14:00:00.000,09:00:00.000,14:00:00.000,false,
ADW,Addiewell,ADDIEWELL,-3.606517263,55.84340123,SR,931000,,,,,,,,,,,,false,false
ASN,Addlestone,ADDLESTONE,-0.484448913,51.37304695,SW,555000,,,,,,06:30:00.000,10:00:00.000,09:30:00.000,12:30:00.000,,,false,false
ADM,Adisham,ADISHAM,1.19910096,51.24120466,SE,516000,,,,,,,,,,,,false,
ADC,Adlington (Cheshire),ADLINGTON CHES,-2.13356,53.31957,NT,293900,,,,,,,,,,,,false,
ADL,Adlington (Lancashire),ADLINGTON LANCS,-2.603061143,53.6129455,NT,264100,,,,,,,,06:35:00.000,13:10:00.000,,,false,
AWK,Adwick,ADWICK,-1.181475098,53.57302304,NT,835300,,,,,,,,,,,,true,
AIG,Aigburth,AIGBURTH,-2.927160737,53.3645833,ME,225500,,,,,,,,05:59:00.000,00:07:00.000,07:59:00.000,00:07:00.000,true,
ANS,Ainsdale,AINSDALE,-3.042669326,53.60183287,ME,235000,,,,,,,,05:32:00.000,00:27:00.000,07:52:00.000,00:27:00.000,true,
AIN,Aintree,AINTREE,-2.956664741,53.47400907,ME,212500,,,,,,05:30:00.000,11:30:00.000,05:30:00.000,11:30:00.000,05:30:00.000,11:30:00.000,true,
AIR,Airbles,AIRBLES,-3.994178739,55.78282474,SR,969500,,,,,,,,,,,,false,false
ADR,Airdrie,AIRDRIE,-3.982897473,55.86397274,SR,975900,,,,,,05:30:00.000,19:00:00.000,07:00:00.000,19:00:00.000,07:30:00.000,17:00:00.000,true,false
AYP,Albany Park,ALBANY PARK,0.126411748,51.43580211,SE,513200,,,,,,06:10:00.000,19:30:00.000,08:10:00.000,14:50:00.000,08:10:00.000,13:30:00.000,true,
ALB,Albrighton,ALBRIGHTON,-2.268906298,52.63795639,WM,461400,,,,,,,,,,,,false,
ALD,Alderley Edge,ALDERLEY EDGE,-2.236800428,53.30379521,NT,276000,,,,,,,,07:30:00.000,14:00:00.000,,,false,
AMT,Aldermaston,ALDERMASTON,-1.138770296,51.40201112,GW,314500,,,,,,,,,,,,false,false
AHT,Aldershot,ALDERSHOT.,-0.759860484,51.24641674,SW,562300,,,,,,06:20:00.000,21:18:00.000,06:20:00.000,21:18:00.000,07:35:00.000,18:55:00.000,true,true
AGT,Aldrington,ALDRINGTON,-0.181209698,50.83636472,SN,528000,,,,,,,,,,,,false,false
AAP,Alexandra Palace,ALEXANDRAPALACE,-0.12014,51.59829,GN,602500,,,,,,06:15:00.000,12:40:00.000,09:00:00.000,15:25:00.000,,,false,false
AXP,Alexandra Parade,ALEXANDRA PARADE,-4.211419355,55.86366362,SR,990500,,,,,,,,,,,,false,false
ALX,Alexandria,ALEXANDRIA,-4.577469118,55.98507321,SR,986100,,,,,,06:45:00.000,08:45:00.000,09:15:00.000,14:45:00.000,,,false,false
ALF,Alfreton,ALFRETON.,-1.369688632,53.10045706,EM,180500,,,,,,06:45:00.000,18:00:00.000,06:45:00.000,18:00:00.000,10:30:00.000,18:00:00.000,true,false
ALW,Allens West,ALLENS WEST,-1.36342611,54.52411689,NT,752000,,,,,,,,,,,,false,false
ALO,Alloa,ALLOA,-3.79004938,56.11778079,SR,9883,,,,,,,,,,,,false,false
ASS,Alness,ALNESS,-4.249725543,57.69437787,SR,860500,,,,,,,,,,,,false,false
ALM,Alnmouth,ALNMOUTH,-1.636879701,55.39241161,NT,778700,,,,,,,,06:40:00.000,18:00:00.000,10:20:00.000,21:30:00.000,true,true
ALR,Alresford (Essex),ALRESFORD ESSEX,0.996704746,51.85400474,LE,684700,,,,,,,,,,,,false,
ASG,Alsager,ALSAGER,-2.298612158,53.09275298,EM,122300,,,,,,,,,,,,false,
ALN,Althorne (Essex),ALTHORNE ESSEX,0.752499154,51.64787695,LE,686900,,,,,,,,,,,,false,
ALP,Althorpe,ALTHORPE HUMBER,-0.732586396,53.58528974,NT,653200,,,,,,,,,,,,false,
ABC,Altnabreac,ALTNABREAC,-3.705268158,58.38832585,SR,860600,,,,,,,,,,,,false,false
AON,Alton,ALTON.,-0.966920228,51.15196497,SW,554400,,,,,,06:30:00.000,19:00:00.000,07:30:00.000,17:30:00.000,08:30:00.000,16:00:00.000,true,true
ALT,Altrincham,ALTRINCHAM.,-2.347281454,53.3874545,NT,280600,,,,,,06:40:00.000,20:20:00.000,07:10:00.000,20:20:00.000,09:20:00.000,16:50:00.000,true,
ALV,Alvechurch,ALVECHURCH,-1.967659996,52.34608475,WM,119800,,,,,,,,,,,,false,
AMB,Ambergate,AMBERGATE,-1.48069344,53.06054078,EM,167800,,,,,,,,,,,,false,
AMY,Amberley,AMBERLEY,-0.541989047,50.896668,SN,525000,,,,,,,,,,,,false,false
AMR,Amersham,AMERSHAM (UND),-0.607590127,51.6742069133,LT,050600,,,,,,,,,,,,true,
AMF,Ammanford,AMMANFORD,-3.996765792,51.79597767,AW,423600,,,,,,,,,,,,false,false
ANC,Ancaster,ANCASTER,-0.535615122,52.98793249,EM,635800,,,,,,,,,,,,false,
AND,Anderston,ANDERSTON,-4.271929947,55.85986476,SR,996500,,,,,,06:30:00.000,19:30:00.000,09:00:00.000,16:00:00.000,09:52:00.000,18:11:00.000,false,false
ADV,Andover,ANDOVER.,-1.49223998,51.21154584,SW,551000,,,,,,06:00:00.000,19:00:00.000,06:50:00.000,17:40:00.000,08:15:00.000,16:45:00.000,true,true
ANZ,Anerley,ANERLEY,-0.0659143281,51.413054424,LO,539700,,,,,,07:30:00.000,10:00:00.000,,,,,false,true
ANG,Angmering,ANGMERING,-0.4893894,50.8165699,SN,526700,,,,,,06:25:00.000,19:35:00.000,06:40:00.000,20:00:00.000,08:10:00.000,15:45:00.000,true,true
ANN,Annan,ANNAN,-3.262584309,54.98383786,SR,945100,,,,,,,,,,,,false,false
ANL,Anniesland,ANNIESLAND,-4.321640769,55.88949536,SR,997200,,,,,,,,07:10:00.000,19:49:00.000,09:10:00.000,16:50:00.000,true,false
AFV,Ansdell & Fairhaven,-,-2.993056487,53.74157235,NT,266200,,,,,,,,,,,,false,true
APY,Apperley Bridge,APERLYB,-1.703065,53.84138,NT,8562,,,,,,,,,,,,false,
APP,Appleby,APPLEBY,-2.486692409,54.58035366,NT,205200,,,,,,09:00:00.000,18:15:00.000,08:00:00.000,17:20:00.000,,,true,
APD,Appledore (Kent),APPLEDORE KENT,0.816355536,51.0332352,SN,500300,,,,,,,,,,,,false,false
APF,Appleford,APPLEFORD,-1.242139074,51.63964272,GW,310900,,,,,,,,,,,,false,false
APB,Appley Bridge,APPLEY BRIDGE,-2.719239,53.578696,NT,239600,,,,,,,,,,,,false,false
APS,Apsley,APSLEY,-0.462924369,51.73252418,LN,143000,,,,,,,,08:00:00.000,14:45:00.000,10:00:00.000,16:00:00.000,true,
ARB,Arbroath,ARBROATH,-2.5889364,56.55956606,SR,907900,,,,,,,,07:00:00.000,17:00:00.000,09:10:00.000,16:30:00.000,true,true
ARD,Ardgay,ARDGAY,-4.362578076,57.88101054,SR,861300,,,,,,,,,,,,false,false
AUI,Ardlui,ARDLUI,-4.721642823,56.3019481,SR,996200,,,,,,,,,,,,false,
ADS,Ardrossan Harbour,ARDROSSAN HBR,-4.821105156,55.63986185,SR,945300,,,,,,,,,,,,false,
ASB,Ardrossan South Beach,ARDROSSAN S BCH,-4.801205601,55.6414058,SR,956900,,,,,,,,08:15:00.000,16:30:00.000,10:00:00.000,14:00:00.000,false,false
ADN,Ardrossan Town,ARDROSSAN TOWN,-4.812669742,55.63969607,SR,945500,,,,,,,,,,,,false,
ADK,Ardwick,ARDWICK,-2.21388356,53.4713637,NT,296000,,,,,,,,,,,,false,
AGS,Argyle Street,ARGYLE STREET,-4.250671495,55.85730754,SR,996100,,,,,,,,08:00:00.000,23:15:00.000,10:10:00.000,17:40:00.000,false,false
ARG,Arisaig,ARISAIG,-5.839071397,56.9125214,SR,882100,,,,,,,,,,,,false,false
ARL,Arlesey,ARLESEY,-0.26632,52.02604,GN,617100,,,,,,06:45:00.000,12:10:00.000,07:45:00.000,13:10:00.000,,,false,true
ARM,Armadale (West Lothian),ARMADALE,-3.685049,55.88639,SR,0990,,,,,,,,,,,,false,false
AWT,Armathwaite,ARMATHWAITE,-2.771682007,54.8091136,NT,205400,,,,,,,,,,,,false,
ARN,Arnside,ARNSIDE,-2.827766101,54.20210888,NT,196300,,,,,,,,,,,,false,
ARR,Arram,ARRAM,-0.42685721,53.88458217,NT,804500,,,,,,,,,,,,false,
ART,Arrochar & Tarbet,-,-4.722756857,56.2039585,SR,996300,,,,,,,,,,,,false,
ARU,Arundel,ARUNDEL,-0.546171346,50.84820145,SN,525100,,,,,,06:00:00.000,19:25:00.000,08:10:00.000,14:45:00.000,08:10:00.000,16:45:00.000,true,true
ACT,Ascot (Berks),ASCOT (BERKS),-0.675830536,51.40624634,SW,566600,,,,,,06:00:00.000,19:00:00.000,07:00:00.000,19:00:00.000,08:10:00.000,17:40:00.000,true,true
AUW,Ascott-under-Wychwood,ASCOTT-U-WYCH,-1.564058135,51.86734048,GW,300300,,,,,,,,,,,,false,
ASH,Ash,ASH,-0.712804737,51.24959566,SW,564100,,,,,,06:40:00.000,11:45:00.000,06:40:00.000,11:45:00.000,,,false,false
AHV,Ash Vale,ASH VALE,-0.72164797,51.27224595,SW,554700,,,,,,06:25:00.000,12:00:00.000,08:00:00.000,13:00:00.000,,,true,false
ABY,Ashburys,ASHBURYS,-2.194298663,53.47139715,NT,294100,,,,,,,,,,,,false,
ASC,Ashchurch for Tewkesbury,ASHCHURCH,-2.109057444,51.99916912,GW,470000,,,,,,,,,,,,false,false
ASF,Ashfield,ASHFIELD,-4.249206392,55.88890808,SR,995300,,,,,,,,,,,,false,
AFS,Ashford (Surrey),ASHFORD (MIDDX),-0.468062256,51.43651024,SW,566700,,,,,,06:25:00.000,13:25:00.000,08:00:00.000,14:00:00.000,08:55:00.000,16:25:00.000,true,false
AFK,Ashford International,ASHFORD (KENT),0.876213658,51.14370672,SE,500400,,,,,,05:30:00.000,21:30:00.000,05:30:00.000,21:30:00.000,06:00:00.000,21:30:00.000,true,true
ASL,Ashington,ASHINGTON,-1.5730779946899398,55.183089371550416,NT,760800,,,,,,,,,,,,false,false
ASY,Ashley,ASHLEY,-2.341015897,53.35601141,NT,285000,,,,,,,,,,,,false,
ASD,Ashley Down,Ashley Down,-2.5771154,51.4786762,GW,554800,,,,,,,,,,,,false,false
AHD,Ashtead,ASHTEAD,-0.308147338,51.31788158,SN,534700,,,,,,06:40:00.000,20:00:00.000,07:50:00.000,14:25:00.000,09:10:00.000,16:45:00.000,true,false
AHN,Ashton-under-Lyne,ASHTON U LYNE,-2.093404009,53.49128474,NT,279000,,,,,,,,06:50:00.000,20:05:00.000,,,true,
AHS,Ashurst (Kent),ASHURST KENT,0.152661963,51.12865582,SN,539800,,,,,,,,,,,,false,false
ANF,Ashurst New Forest,ASHURST N FOREST,-1.526640531,50.88984033,SW,590600,,,,,,,,,,,,false,false
AWM,Ashwell & Morden,ASHWELLMORDEN,-0.10978,52.03078,GN,608300,,,,,,06:00:00.000,10:00:00.000,,,,,false,false
ASK,Askam,ASKAM,-3.204522253,54.18904409,NT,195300,,,,,,,,,,,,false,false
ALK,Aslockton,ASLOCKTON,-0.898543361,52.95139426,EM,623300,,,,,,,,,,,,false,
ASP,Aspatria,ASPATRIA,-3.331737575,54.75932254,NT,209500,,,,,,,,,,,,false,false
APG,Aspley Guise,ASPLEY GUISE,-0.632327027,52.02124786,LN,138000,,,,,,,,,,,,false,
AST,Aston,ASTON.,-1.871779432,52.50513897,WM,100400,,,,,,,,11:00:00.000,15:00:00.000,,,false,
ATH,Atherstone,ATHERSTONE WARKS,-1.552812353,52.5789821,LN,107400,,,,,,,,,,,,false,
ATN,Atherton,ATHERTON MANCHR,-2.478177715,53.52901633,NT,258400,,,,,,,,06:10:00.000,23:45:00.000,,,false,
ATT,Attadale,ATTADALE,-5.456481075,57.39476556,SR,860800,,,,,,,,,,,,false,
ATB,Attenborough,ATTENBOROUGH,-1.231269105,52.9063664,EM,162400,,,,,,,,,,,,false,
ATL,Attleborough,ATTLEBOROUGH,1.022679778,52.51426479,LE,736700,,,,,,,,,,,,false,
AUK,Auchinleck,AUCHINLECK,-4.295346631,55.47026554,SR,945700,,,,,,,,,,,,false,
AUD,Audley End,AUDLEY END,0.2071621,52.00445153,LE,701700,,,,,,06:00:00.000,19:00:00.000,07:00:00.000,18:00:00.000,09:00:00.000,17:00:00.000,true,true
AUG,Aughton Park,AUGHTON PARK,-2.895078195,53.55448798,ME,221500,,,,,,,,05:38:00.000,00:22:00.000,08:08:00.000,00:22:00.000,false,
AVM,Aviemore,AVIEMORE,-3.828333974,57.18905401,SR,861000,,,,,,07:30:00.000,21:25:00.000,07:35:00.000,14:39:00.000,09:40:00.000,17:20:00.000,true,false
AVF,Avoncliff,AVONCLIFF,-2.281339394,51.33964614,GW,326500,,,,,,,,,,,,false,false
AVN,Avonmouth,AVONMOUTH,-2.698421372,51.50012646,GW,320000,,,,,,,,,,,,false,
AXM,Axminster,AXMINSTER,-3.00522804,50.7785826,SW,571400,,,,,,06:15:00.000,17:00:00.000,07:15:00.000,13:05:00.000,,,true,false
AYS,Aylesbury,AYLESBURY,-0.815094966,51.81389614,CH,149200,,,,,,06:00:00.000,19:10:00.000,06:40:00.000,18:10:00.000,08:10:00.000,17:40:00.000,true,true
AVP,Aylesbury Vale Parkway,Aylebury V Pkwy,-0.8598321335907055,51.83124585608368,CH,1090,,,,,,06:00:00.000,12:30:00.000,06:40:00.000,12:45:00.000,,,true,
AYL,Aylesford,AYLESFORD,0.466175982,51.30131524,SE,516200,,,,,,,,,,,,false,
AYH,Aylesham,AYLESHAM,1.209464797,51.227257,SE,519700,,,,,,06:30:00.000,13:10:00.000,06:30:00.000,13:10:00.000,,,false,
AYR,Ayr,AYR,-4.626820483,55.45820439,SR,946300,,,,,,05:30:00.000,23:15:00.000,05:30:00.000,23:15:00.000,08:40:00.000,23:05:00.000,false,true
BAC,Bache,BACHE,-2.892360673,53.20933376,ME,218700,,,,,,,,,,,,false,
BAJ,Baglan,BAGLAN,-3.80971,51.61456,AW,418600,,,,,,,,,,,,false,false
BAG,Bagshot,BAGSHOT,-0.688659892,51.36436905,SW,568100,,,,,,06:15:00.000,10:00:00.000,,,,,false,false
BLD,Baildon,BAILDON,-1.753714588,53.84969683,NT,855200,,,,,,,,,,,,false,false
BIO,Baillieston,BAILLIESTON,-4.114497793,55.84470543,SR,976300,,,,,,,,,,,,false,false
BAB,Balcombe,BALCOMBE,-0.136932431,51.05551334,SN,549200,,,,,,06:30:00.000,14:30:00.000,06:30:00.000,14:30:00.000,,,true,false
BDK,Baldock,BALDOCK,-0.18756,51.99288,GN,608400,,,,,,06:40:00.000,13:10:00.000,08:00:00.000,14:25:00.000,,,false,false
BAL,Balham,BALHAM.,-0.152421221,51.44322754,SN,539900,,,,,,06:10:00.000,21:30:00.000,06:10:00.000,21:30:00.000,07:10:00.000,20:45:00.000,true,true
BHC,Balloch,BALLOCH CENTRAL,-4.583469732,56.00291529,SR,986200,,,,,,,,07:00:00.000,19:00:00.000,09:00:00.000,16:30:00.000,true,true
BSI,Balmossie,Balmossie,-2.8402961,56.4747536,SR,9013,,,,,,,,,,,,false,false
BMB,Bamber Bridge,BAMBER BRIDGE,-2.660769189,53.72678683,NT,256100,,,,,,,,,,,,false,false
BAM,Bamford,BAMFORD,-1.689082177,53.33901464,NT,282000,,,,,,,,,,,,false,
BNV,Banavie,BANAVIE,-5.095416228,56.84328828,SR,883900,,,,,,,,,,,,false,false
BAN,Banbury,BANBURY.,-1.328130455,52.06031282,CH,450200,,,,,,05:45:00.000,20:15:00.000,06:35:00.000,19:15:00.000,08:10:00.000,17:40:00.000,true,true
BNG,Bangor (Gwynedd),BANGOR (GWYNEDD),-4.135891358,53.22229978,AW,247100,,,,,,,,05:45:00.000,18:15:00.000,08:00:00.000,18:30:00.000,true,true
BAH,Bank Hall,BANK HALL,-2.987464984,53.43780206,ME,223800,,,,,,,,05:46:00.000,00:06:00.000,08:01:00.000,00:06:00.000,false,
BAD,Banstead,BANSTEAD,-0.213158063,51.32934844,SN,534800,,,,,,,,,,,,false,false
BSS,Barassie,BARASSIE,-4.651129008,55.5610457,SR,946600,,,,,,,,,,,,false,false
BLL,Bardon Mill,BARDON MILL,-2.346497864,54.97449387,NT,756300,,,,,,,,,,,,false,false
BAR,Bare Lane,BARE LANE,-2.835940378,54.07533066,NT,269000,,,,,,,,,,,,false,
BGI,Bargeddie,BARGEDDIE,-4.071741852,55.8517241,SR,976400,,,,,,,,,,,,false,false
BGD,Bargoed,BARGOED,-3.229689376,51.69230767,AW,401100,,,,,,,,,,,,false,false
BKG,Barking,BARKING,0.0807933827,51.5400412345,CC,749200,,,,,,05:15:00.000,23:00:00.000,05:15:00.000,23:00:00.000,06:45:00.000,10:45:00.000,true,
BGV,Barking Riverside,BARKRIV,0.114764,51.519108,LO,133500,,,,,,,,,,,,false,
BRT,Barlaston,BARLASTON,-2.168112728,52.94288578,WM,127900,,,,,,,,,,,,false,
BMG,Barming,BARMING,0.478963755,51.2848921,SE,513300,,,,,,05:50:00.000,09:15:00.000,,,,,false,
BRM,Barmouth,BARMOUTH,-4.05647,52.72233,AW,444500,,,,,,,,09:15:00.000,16:15:00.000,,,false,false
BNH,Barnehurst,BARNEHURST,0.160876915,51.46484925,SE,508900,,,,,,06:10:00.000,19:30:00.000,08:10:00.000,14:50:00.000,08:10:00.000,15:40:00.000,true,
BNS,Barnes,BARNES,-0.240724454,51.46706806,SW,555100,,,,,,06:45:00.000,13:00:00.000,07:00:00.000,15:00:00.000,10:00:00.000,13:00:00.000,false,false
BNI,Barnes Bridge,BARNES BRIDGE,-0.252064268,51.47173404,SW,558000,,,,,,,,,,,,false,false
BTB,Barnetby,BARNETBY,-0.409705665,53.57424146,TP,640600,,,,,,,,,,,,false,
BAA,Barnham,BARNHAM,-0.639679689,50.83089289,SN,525200,,,,,,05:30:00.000,22:25:00.000,05:30:00.000,22:25:00.000,06:00:00.000,21:25:00.000,true,true
BNL,Barnhill,BARNHILL,-4.223416311,55.87782761,SR,997300,,,,,,,,,,,,false,false
BNY,Barnsley,BARNSLEY.,-1.477078446,53.55462662,NT,677400,,,,,,,,06:00:00.000,19:30:00.000,08:45:00.000,19:00:00.000,true,true
BNP,Barnstaple,BARNSTAPLE,-4.063153416,51.07396111,GW,572500,,,,,,06:15:00.000,17:50:00.000,06:15:00.000,17:50:00.000,09:20:00.000,16:40:00.000,true,true
BTG,Barnt Green,BARNT GREEN,-1.992466617,52.36109392,WM,109600,,,,,,,,,,,,false,
BRR,Barrhead,BARRHEAD,-4.397280292,55.80373712,SR,967400,,,,,,06:50:00.000,19:50:00.000,06:50:00.000,19:50:00.000,09:10:00.000,16:50:00.000,true,true
BRL,Barrhill,BARRHILL,-4.781779564,55.0969965,SR,946700,,,,,,,,,,,,true,false
BAV,Barrow Haven,BARROW HAVEN,-0.391442806,53.6971445,EM,621200,,,,,,,,,,,,false,
BIF,Barrow-in-Furness,BARROW IN FURNSS,-3.226129301,54.1190048,NT,195400,,,,,,,,04:45:00.000,19:30:00.000,08:00:00.000,17:30:00.000,true,true
BWS,Barrow-upon-Soar,BARROW UPON SOAR,-1.149568919,52.75028353,EM,190300,,,,,,,,,,,,false,
BRY,Barry,BARRY,-3.284997567,51.39678181,AW,380500,,,,,,06:50:00.000,13:20:00.000,07:45:00.000,14:15:00.000,,,true,
BYD,Barry Docks,BARRY DOCKS,-3.260715837,51.40244097,AW,380600,,,,,,,,,,,,false,
BYI,Barry Island,BARRY ISLAND,-3.273376317,51.39241248,AW,380700,,,,,,,,,,,,false,false
BYL,Barry Links,BARRY LINKS,-2.745435354,56.49313971,SR,902000,,,,,,,,,,,,false,false
BAU,Barton-on-Humber,BARTON ON HUMBER,-0.443251195,53.68883974,EM,620700,,,,,,,,,,,,false,
BSO,Basildon,BASILDON.,0.4567956956,51.5681114558,CC,749400,,,,,,05:15:00.000,21:00:00.000,05:15:00.000,21:45:00.000,06:45:00.000,20:45:00.000,true,
BSK,Basingstoke,BASINGSTOKE.,-1.087259112,51.26835654,SW,552000,,,,,,06:00:00.000,21:30:00.000,06:00:00.000,21:30:00.000,07:00:00.000,21:30:00.000,true,true
BBL,Bat & Ball,-,0.194239522,51.28975825,SE,509000,,,,,,,,,,,,true,
BTH,Bath Spa,BATH SPA.,-2.357034178,51.37768276,GW,327100,,,,,,06:00:00.000,20:00:00.000,06:00:00.000,20:00:00.000,07:45:00.000,20:00:00.000,true,true
BHG,Bathgate,BATHGATE,-3.640968553,55.89911208,SR,931100,,,,,,,,07:00:00.000,20:00:00.000,09:00:00.000,19:00:00.000,true,false
BTL,Batley,BATLEY,-1.622728738,53.70914805,NT,848400,,,,,,,,,,,,false,
BTT,Battersby,BATTERSBY,-1.092979104,54.45768979,NT,790900,,,,,,,,,,,,false,false
BAK,Battersea Park,BATTERSEA PARK,-0.148162967,51.47733308,SN,542000,,,,,,,,05:05:00.000,00:34:00.000,05:00:00.000,00:16:00.000,true,false
BAT,Battle,BATTLE,0.494707026,50.91291092,SE,521500,,,,,,05:40:00.000,19:00:00.000,05:40:00.000,19:00:00.000,09:10:00.000,16:30:00.000,true,true
BLB,Battlesbridge,BATTLESBRIDGE,0.56580343,51.62486557,LE,687000,,,,,,,,,,,,false,
BAY,Bayford,BAYFORD,-0.0956,51.75772,GN,600600,,,,,,,,,,,,false,false
BCF,Beaconsfield,BEACONSFIELD,-0.643817675,51.61129066,CH,304700,,,,,,06:05:00.000,20:00:00.000,06:40:00.000,18:10:00.000,08:05:00.000,17:35:00.000,true,false
BER,Bearley,BEARLEY,-1.750263853,52.24442123,WM,242000,,,,,,,,,,,,false,
BRN,Bearsden,BEARSDEN,-4.332896496,55.91714482,SR,996600,,,,,,,,07:00:00.000,13:40:00.000,,,false,false
BSD,Bearsted,BEARSTED,0.577588734,51.27581786,SE,509100,,,,,,06:10:00.000,19:30:00.000,07:10:00.000,13:50:00.000,07:40:00.000,15:10:00.000,true,
BSL,Beasdale,BEASDALE,-5.763793188,56.8995283,SR,882200,,,,,,,,,,,,false,false
BPA,Beaulieu Park,BEAULIEU PARK,0.519782,51.75713,LE,034400,,,,,,,,,,,,false,false
BEU,Beaulieu Road,BEAULIEU ROAD,-1.504758891,50.85503752,SW,589000,,,,,,,,,,,,false,false
BEL,Beauly,BEAULY,-4.469945682,57.47820537,SR,887700,,,,,,,,,,,,false,false
BEB,Bebington,BEBINGTON,-3.003642726,53.35767221,ME,218800,,,,,,,,05:36:00.000,00:14:00.000,07:41:00.000,00:14:00.000,true,
BCC,Beccles,BECCLES.,1.569508099,52.45854162,LE,725800,,,,,,,,,,,,false,
BEC,Beckenham Hill,BECKENHAM HILL,-0.016509356,51.42481875,TL,507600,,,,,,06:40:00.000,13:20:00.000,,,,,false,false
BKJ,Beckenham Junction,BECKENHAM JN,-0.027152,51.41150888,SE,504600,,,,,,06:10:00.000,19:40:00.000,06:10:00.000,19:40:00.000,08:10:00.000,17:40:00.000,true,true
BDM,Bedford,BEDFORD,-0.47944,52.1362,TL,151200,,,,,,05:45:00.000,21:00:00.000,05:45:00.000,21:00:00.000,07:15:00.000,21:15:00.000,true,true
BSJ,Bedford St Johns,BEDFORD ST JOHNS,-0.467502781,52.12949203,LN,151000,,,,,,,,,,,,false,
BDH,Bedhampton,BEDHAMPTON,-0.995823664,50.85394444,SW,553800,,,,,,06:45:00.000,09:45:00.000,10:00:00.000,13:00:00.000,,,false,false
BEJ,Bedlington,BEDLINGTON,-1.5692438253784147,55.14062956262779,NT,766600,,,,,,,,,,,,false,false
BMT,Bedminster,BEDMINSTER,-2.594156901,51.44008674,GW,324500,,,,,,,,,,,,false,false
BEH,Bedworth,BEDWORTH,-1.467391189,52.47931356,WM,116500,,,,,,,,,,,,false,
BDW,Bedwyn,BEDWYN,-1.598795279,51.37963498,GW,307000,,,,,,,,,,,,false,false
BEE,Beeston,BEESTON,-1.207661803,52.92077475,EM,162500,,,,,,06:10:00.000,19:45:00.000,06:10:00.000,19:45:00.000,10:00:00.000,17:00:00.000,true,
BKS,Bekesbourne,BEKESBOURNE,1.136717912,51.26136142,SE,519800,,,,,,,,,,,,false,
BLV,Belle Vue,BELLE VUE,-2.180399301,53.46216055,NT,278500,,,,,,,,,,,,false,
BLG,Bellgrove,BELLGROVE,-4.225428982,55.85711966,SR,989500,,,,,,,,,,,,false,false
